barcode,hit count,enterobase serotype,enterobase species,mash species,1436893830000|3159571,1436893909000|3159808,2873786891000|3159389,2873787160000|3160196,4310679577000|3158082,4310679772000|3158667,4310679831000|3158844,4310680254000|3160113,4310680315000|3160296,4310680399000|3160548
ESC_MA3167AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA1509AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA4889AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA6448AA_AS,9,,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_CA2639AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA0443AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA8031AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA0065AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA9966AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_HA7550AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_HA2361AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA5515AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA1294AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA5806AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA3138AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA2343AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA4986AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA8835AA_AS,9,Escherichia Coli,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA8895AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_OA9829AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA0266AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA3805AA_AS,9,Escherichia Coli,Escherichia coli,,1,1,1,0,1,1,1,1,1,1
ESC_GA1992AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_JA0274AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA0717AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA0726AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_FA6838AA_AS,10,O157:H43,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA5873AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA0095AA_AS,10,O.:H2,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA9419AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA3685AA_AS,0,Sonnei,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA2648AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_OA4768AA_AS,6,,Escherichia coli,,1,0,1,1,1,1,1,0,0,0
ESC_HA6415AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA5233AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,0,1
ESC_JA0210AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA5399AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA1489AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA7737AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA7810AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA3572AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA7285AA_AS,10,O7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA0356AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA0200AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA0208AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA0967AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_AA9754AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA7277AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA8967AA_AS,9,,Escherichia coli,,1,1,1,0,1,1,1,1,1,1
ESC_GA8673AA_AS,10,O25:H17,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA1877AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA7124AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA9613AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA2653AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_AA8095AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_IA0628AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_IA9394AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_MA2360AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA3945AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA0859AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA8289AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA8946AA_AS,10,O25:H17,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA1791AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA1833AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_CA5353AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4625AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA9302AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA5789AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA4828AA_AS,9,,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_GA9802AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_LA4626AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_FA8028AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA2488AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA6717AA_AS,0,,Escherichia coli,Escherichia albertii,0,0,0,0,0,0,0,0,0,0
ESC_CA0728AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA2181AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA7751AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA9853AA_AS,8,,Escherichia coli,,1,1,1,1,1,1,1,0,0,1
ESC_IA4298AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA0699AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA9879AA_AS,8,,Escherichia coli,,1,1,1,1,1,0,0,1,1,1
ESC_MA2449AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA1922AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_FA5618AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA2835AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_HA5758AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA7268AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA0270AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_HA9373AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA9589AA_AS,0,,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_HA8100AA_AS,9,O158:H15,Escherichia coli,,1,1,1,0,1,1,1,1,1,1
ESC_LA0136AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA4511AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA3937AA_AS,8,,Escherichia coli,,1,0,1,1,1,1,1,1,1,0
ESC_LA1756AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA0742AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA0290AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA1056AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_GA8938AA_AS,2,O28Ac,Escherichia coli,Escherichia coli,0,0,0,1,0,0,0,0,1,0
ESC_JA4741AA_AS,9,Escherichia Coli,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_HA3894AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA8029AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA6981AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA6661AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA7953AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA1334AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA2004AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_JA5775AA_AS,0,Shigella Dysenteriae,Shigella dysenteriae,,0,0,0,0,0,0,0,0,0,0
ESC_BA1652AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA5903AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA7743AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA3504AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA1477AA_AS,10,O157,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA2475AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA2231AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA0202AA_AS,9,,Escherichia coli,,1,1,1,1,1,0,1,1,1,1
ESC_NA8808AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_LA1171AA_AS,9,,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_GA9288AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_MA2836AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_IA1150AA_AS,9,O157,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_HA9718AA_AS,7,,Escherichia coli,,0,1,0,1,1,1,1,0,1,1
ESC_NA9595AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA4697AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA9316AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_HA0986AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
